                Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100% ━━━━━━━━━━━━ 9/9 1.0it/s 8.7s0.3s
                   all        548      38759      0.437      0.334      0.335      0.191
            pedestrian        520       8844      0.442      0.393      0.385      0.167
                people        482       5125       0.45       0.29        0.3      0.113
               bicycle        364       1287      0.239      0.112     0.0973     0.0398
                   car        515      14064      0.627      0.763      0.762      0.519
                   van        421       1975      0.459      0.359       0.36      0.244
                 truck        266        750      0.432      0.268       0.27      0.168
              tricycle        337       1045      0.361      0.211      0.211      0.117
       awning-tricycle        220        532      0.305      0.143      0.121     0.0766
                   bus        131        251      0.587      0.394      0.453      0.306
                 motor        485       4886      0.467       0.41      0.388      0.165



               Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100% ━━━━━━━━━━━━ 9/9 1.1s/it 10.3s0.3s
                   all        548      38759      0.489      0.382      0.391      0.229
            pedestrian        520       8844      0.523      0.429      0.452      0.202
                people        482       5125       0.51      0.319      0.349      0.135
               bicycle        364       1287      0.289      0.157      0.131     0.0568
                   car        515      14064       0.69      0.783        0.8      0.562
                   van        421       1975      0.493      0.432      0.428      0.298
                 truck        266        750      0.513      0.315      0.341      0.221
              tricycle        337       1045      0.432      0.269      0.266      0.146
       awning-tricycle        220        532      0.348       0.16      0.165      0.104
                   bus        131        251      0.577      0.498      0.528      0.369
                 motor        485       4886      0.515      0.462      0.451      0.199
